taz_id,count,units_per_acre_q8
1.0,2,117.18811279999998
2.0,5,476.7692304000001
3.0,22,250.50000000000003
4.0,5,337.52380880000004
5.0,19,536.9230764
6.0,93,354.2657336
7.0,91,512.5
8.0,90,484.00000000000006
9.0,123,411.13636360000004
10.0,112,275.0
11.0,104,398.6666660000002
12.0,8,371.9827584000001
13.0,5,1437.142857
14.0,4,712.7272724000003
15.0,1,92.19653100000001
16.0,50,509.37600260000005
17.0,79,246.66666640000003
18.0,63,244.44444399999998
19.0,79,222.56410220000012
20.0,251,133.333333
21.0,99,275.76923039999997
22.0,10,183.4101376
23.0,10,296.34146320000013
24.0,38,272.525252
25.0,102,300.0
26.0,60,251.4285714
27.0,161,185.71428500000002
28.0,269,197.4999998
29.0,163,257.6086954
30.0,149,335.787545
31.0,100,321.0
32.0,267,200.0
33.0,394,140.0
34.0,501,112.5
35.0,533,133.333333
36.0,293,179.57894720000002
37.0,339,166.666666
38.0,669,116.66666599999999
39.0,549,100.0
40.0,415,109.09090900000001
41.0,170,133.333333
42.0,17,89.155438
43.0,823,66.666666
44.0,821,85.714285
45.0,613,80.0
46.0,395,133.333333
47.0,310,86.83333280000002
48.0,604,75.0
49.0,784,37.10526300000006
50.0,871,55.555555000000005
51.0,646,50.0
52.0,17,149.33333280000005
53.0,10,126.0
54.0,1558,37.5
55.0,914,33.333333
56.0,46,33.333333
57.0,806,16.666666
58.0,842,57.14285699999999
59.0,1750,37.5
60.0,856,33.333333
61.0,860,50.0
62.0,1295,57.14285699999999
63.0,1141,40.0
64.0,1270,42.857141999999996
65.0,901,57.14285699999999
66.0,717,57.14285699999999
67.0,824,57.14285699999999
68.0,569,50.0
69.0,996,50.0
70.0,1035,50.0
71.0,923,39.00000000000006
72.0,364,61.000000000000085
73.0,415,95.26557360000005
74.0,139,100.0
75.0,70,214.44521480000003
76.0,35,269.4736836
77.0,82,260.3720928
78.0,68,178.09523740000003
79.0,190,200.0
80.0,418,100.0
81.0,644,100.0
82.0,479,66.666666
83.0,938,50.0
84.0,670,66.666666
85.0,377,100.0
86.0,539,92.71794840000004
87.0,655,66.666666
88.0,616,80.0
89.0,1444,56.190475800000144
90.0,674,71.42857099999999
91.0,1174,33.333333
92.0,919,14.285714000000002
93.0,1539,50.0
94.0,598,50.0
95.0,844,33.333333
96.0,733,33.333333
97.0,837,50.0
98.0,991,50.0
99.0,565,75.0
100.0,427,100.0
101.0,561,100.0
102.0,762,80.0
103.0,1091,50.0
104.0,419,83.333333
105.0,520,100.0
106.0,287,180.0
107.0,214,116.57142840000002
108.0,20,258.8315216
109.0,38,153.37245620000002
110.0,48,147.52293560000004
111.0,156,95.238095
112.0,491,50.0
113.0,896,50.0
114.0,796,33.333333
115.0,271,50.0
116.0,510,75.0
117.0,576,60.0
118.0,403,69.69230760000002
119.0,388,50.0
120.0,510,50.0
121.0,1068,25.0
122.0,1579,40.0
123.0,903,50.0
124.0,778,40.0
125.0,901,25.0
126.0,936,33.333333
127.0,1228,33.333333
128.0,1185,50.0
129.0,978,25.0
130.0,1255,20.0
131.0,2645,16.666666
132.0,1133,14.285714000000002
133.0,1909,25.0
134.0,1959,28.571428000000004
135.0,1068,33.333333
136.0,884,25.0
137.0,1424,25.0
138.0,2040,25.0
139.0,1165,25.0
140.0,1034,25.0
141.0,427,65.33333280000008
142.0,65,92.48598980000001
143.0,297,28.571428000000004
144.0,537,33.333333
145.0,94,55.2561662
